ntcse,uunn,amt,direccion,wgsy,wgsx
E420945,HUANUCO,A4271,NUEVA GRANADA CA - CARRETERA JACAS GRANDE,-9.555351126,-76.74994283
E420944,HUANUCO,A4271,LEON PAMPA CA - CARRETERA JACAS GRANDE,-9.555068018,-76.74034467
E420942,HUANUCO,A4271,CASCANGA SE. N° 01 CA - CARRETERA JACAS GRANDE - HUAMALIES,-9.57335716,-76.73778183
E420943,HUANUCO,A4271,CASCANGA SE. N° 02 CA - CARRETERA JACAS GRANDE - HUAMALIES,-9.571979472,-76.73698335
E420950,HUANUCO,A4271,PUNCHAO-HAMALES CA - CARRETERA PUNCHAO,-9.460216396,-76.81374004
E420954,HUANUCO,A4260,PA - PARCELA CASHA CA - CARRETERA CASHA,-9.860938299,-76.14990703
E420949,HUANUCO,A4271,PUNCHAO Mz. A CA - CARRETERA PUNCHAO,-9.459927507,-76.82367055
E420941,HUANUCO,A4271,NUEVAS FLORES CA - CARRETERA JACAS GRANDE,-9.573556735,-76.74117804
E420955,HUANUCO,A4260,SANTA MARIA DEL VALLE CA - CARRETERA CASHA,-9.855701296,-76.14608455
E420946,HUANUCO,A4271,HUACASH CA - CARRETERA JACAS GRANDE,-9.549999307,-76.71399814
E420951,HUANUCO,A4260,SAN JUAN DE MARAMBUCO CA - CARRETERA STA. MARIA DEL VALLE,-9.893913004,-76.155129
E420948,HUANUCO,A4257,ACLACANCHA HUYLLA CA - CARRETERA ACLACANCHA,-10.14996013,-76.17723299
E420952,HUANUCO,A4260,SANTA ROSA MARAMBUCO CA - CARRETERA SAM N 01,-9.906134995,-76.150805
E421056,HUANUCO,A4268,NUEVO PROGRESO CA - CARRETERA CHUPAN,-9.731445862,-76.6463464
E421055,HUANUCO,A4268,MAGUSH CA - CARRETERA RAHUA,-9.694312495,-76.66124465
E421066,HUANUCO,A4268,SHURAPAMPA CA - CARRETERA CHUPAN,-9.726007776,-76.6490748
E421054,HUANUCO,A4268,HUARIPAMPA CA - CARRETERA CHUPAN,-9.738519403,-76.64861875
E421052,HUANUCO,A4268,HUANCACHACA - YAROWILCA CA - CARRETERA RAHUA,-9.674536,-76.6551956
E421047,HUANUCO,A4268,BUENOS AIRES CA - CARRETERA RAHUA,-9.709895846,-76.65376508
E421062,HUANUCO,A4268,RONDOBAMBA CA - CARRETERA CHUPAN,-9.727878047,-76.58367039
E421073,HUANUCO,A4268,YACHAS CA - CARRETERA CHUPAN,-9.713942948,-76.57703402
E421060,HUANUCO,A4268,PANPAHUASI -3 - YAROWILCA CA - CARRETERA LOCALIDAD,-9.725105442,-76.60947276
E421072,HUANUCO,A4268,UNION WARI CA - CARRETERA UNION WARI,-9.736419643,-76.62435879
E421045,HUANUCO,A4268,AGORRAGRA CA - CARRETERA CHUPAN,-9.727149341,-76.6181482
E421075,HUANUCO,A4268,YACHAS CA - CARRETERA RAHUA,-9.712383881,-76.56902388
E421059,HUANUCO,A4268,PAMPAHUASI 2 - YAROWILCA CA - CARRETERA CHUPAN,-9.72408847,-76.60477131
E421058,HUANUCO,A4268,PAMPAHUASI 1 - YARORILCA CA - CARRETERA CHUPAN,-9.72650608,-76.60420957
E421063,HUANUCO,A4268,SAN JUAN DE VINCHOS CA - CARRETERA SAN JUAN DE VINCHOS,-9.736135143,-76.63893756
E421061,HUANUCO,A4268,PARASHAPAMPA CA - CARRETERA CHUPAN,-9.745099448,-76.60061005
E421053,HUANUCO,A4268,HUANCACHACA CA - CARRETERA RAHUA,-9.67767486,-76.65544069
E421067,HUANUCO,A4268,SAN JUAN DE MIRAFLORES CA - CARRETERA APARICIO POMARES - YAROWILCA,-9.773263488,-76.65402313
E421033,HUANUCO,A4268,CONQUE CA - CARRETERA PAMPAMARCA,-9.701404928,-76.71022212
E421040,HUANUCO,A4268,ANTAPAMPA S.E.2 CA - CARRETERA PAMPAMARCA,-9.740334926,-76.66383152
E421035,HUANUCO,A4268,LA FLORIDA CA - CARRETERA PAMPAMARCA,-9.714777148,-76.68682423
E421036,HUANUCO,A4268,LA FLORIDA CA - CARRETERA PAMPAMARCA,-9.718051619,-76.68906475
E421039,HUANUCO,A4268,ANTAPAMPA S.E. 1 CA - CARRETERA PAMPAMARCA,-9.735523817,-76.66392204
E421037,HUANUCO,A4268,GARU CA - CARRETERA PAMPAMARCA,-9.716618849,-76.68050277
E420815,HUANUCO,A4268,PACHAS CA - CARRETERA LOCALIDAD,-9.703489358,-76.77463896
E420816,HUANUCO,A4268,HUAYNOPAMPA CA - CARRETERA HUAYNOPAMPA,-9.696921396,-76.7692478
E420822,HUANUCO,A4268,PISHGAS CA - CARRETERA PACHAS,-9.634480831,-76.73173912
E420821,HUANUCO,A4268,PISHGAS CA - CARRETERA PACHAS,-9.628606181,-76.73331643
E420813,HUANUCO,A4268,PACHAS CA - CARRETERA PACHAS,-9.719045097,-76.78096312
E420853,HUANUCO,A4257,LA LIBERTAD CA - CARRETERA YAURIN,-10.02239617,-76.18008725
E420846,HUANUCO,A4257,SANCARRAGRA CA - CARRETERA CONCHAMARCA,-10.03065859,-76.2260243
E420858,HUANUCO,A4257,BELLAVISTA CA - CARRETERA ÑAUZILLA ALTA,-10.05595409,-76.26503725
E420854,HUANUCO,A4257,SANTA ROSA CA - CARRETERA YAURIN,-10.02223356,-76.19072984
E420855,HUANUCO,A4257,CACHAPARAN CA - CARRETERA ÑAUZILLA ALTA,-10.05137024,-76.27441864
E420856,HUANUCO,A4257,CANCHAPARAN CA - CARRETERA ÑAUZILLA ALTA,-10.04616938,-76.28190545
E420868,HUANUCO,A4257,SANTA ROSA 2 CA - CARRETERA YAURIN,-10.0148033,-76.17531948
E420847,HUANUCO,A4257,SANCARRAGRA CA - CARRETERA CONCHAMARCA,-10.03267798,-76.22642338
E420861,HUANUCO,A4257,VILLA DE HUANCAN CA - CARRETERA ÑAUZA,-10.06675548,-76.2841702
E420860,HUANUCO,A4257,VILLA DE HUANCAN CA - CARRETERA ÑAUZA,-10.06489156,-76.28797232
E420867,HUANUCO,A4257,SAN LUIS DE TAYAPAMPA CA - CARRETERA RANCAY,-10.08800081,-76.30881434
E420859,HUANUCO,A4257,VICSACOCHA CA - CARRETERA ÑAUZA,-10.06075064,-76.2998771
E420957,HUANUCO,A4257,CONCHAMARCA CA - CARRETERA RANCAY,-10.08003875,-76.29737396
E420863,HUANUCO,A4257,UTCONGA CA - CARRETERA ÑAUZA,-10.08604849,-76.27285342
E420862,HUANUCO,A4257,COMUNPAMPA CA - CARRETERA ÑAUZA,-10.07836352,-76.28111248
E420864,HUANUCO,A4257,SAN PEDRO DE CUMBE CA - CARRETERA ÑAUZA,-10.08241494,-76.25500383
E420865,HUANUCO,A4257,RUMIPAMPA CA - CARRETERA ÑAUZA,-10.08955267,-76.2676754
E420866,HUANUCO,A4257,SAN MARCOS DE SUNCHAN CA - CARRETERA RANCAY,-10.08977913,-76.29975546
E420956,HUANUCO,A4257,RANCAY CA - CARRETERA RANCAY,-10.08789649,-76.30203879
E420869,HUANUCO,A4260,CONCHUMAYO CA - CARRETERA SANTA MARIA DEL VALLE,-9.860230125,-76.19413534
E420870,HUANUCO,A4260,CONCHUMAYO CA - CARRETERA SANTA MARA DEL VALLE,-9.85884885,-76.18482169
E420871,HUANUCO,A4260,HUANQUILLA CA - CARRETERA SANTA MARA DEL VALLE,-9.858602841,-76.20552692
E420872,HUANUCO,A4260,INGENO BAJO CA - CARRETERA SANTA MARIA DEL VALLE,-9.858047312,-76.22206616
E420873,HUANUCO,A4260,INGENIO BAJO CA - CARRETERA SANTA MARA DEL VALLE,-9.856161114,-76.22879954
E420874,HUANUCO,A4260,INGENO BAJO CA - CARRETERA SANTA MARIA DEL VALLE,-9.855026213,-76.23363788
E420875,HUANUCO,A4260,MERCENARIO CA - CARRETERA SANTA MARIA DEL VALLE,-9.846846111,-76.24325086
E420876,HUANUCO,A4260,SAN SEBASTAN DE QUERA CA - CARRETERA santa maria del valle,-9.852384777,-76.27383131
E420877,HUANUCO,A4260,SAN SEBASTIAN DE QUERA CA - CARRETERA santa maria del valle,-9.851597698,-76.2750169
E420878,HUANUCO,A4260,SAN PEDRO DE MACHA CA - CARRETERA santa mara del valle,-9.851801837,-76.30388808
E420879,HUANUCO,A4260,SAN MIGUEL DE MITO QUERA CA - CARRETERA santa maria del valle,-9.836174117,-76.31719988
E420880,HUANUCO,A4260,PACHABAMBA CA - CARRETERA SANTA MARIA DEL VALLE,-9.848294997,-76.199064
E420881,HUANUCO,A4260,PACHABAMBA CA - CARRETERA SANTA MARIA DEL VALLE,-9.853163001,-76.197651
E420882,HUANUCO,A4260,PACRO YUNCAN CA - CARRETERA santa maria del valle,-9.835334996,-76.194788
E420883,HUANUCO,A4260,POMACUCHO CA - CARRETERA santa maria del valle,-9.828010045,-76.24860612
E420884,HUANUCO,A4260,POMACUCHO CA - CARRETERA santa maria del valle,-9.828824165,-76.24824015
