ntcse,uunn,amt,direccion,wgsy,wgsx
I420826,HUANUCO,A4260,I420826,-9.753730966,-76.26383665
I420825,HUANUCO,A4258,I420825,-9.923152849,-76.33752011
I420853,HUANUCO,A4260,|SECC. I420853,-9.865716151,-76.17421814
I420854,HUANUCO,A4260,POMACUCHO,-9.830335016,-76.24807867
I420858,HUANUCO,A4258,DERIVACION A CHULLAY,-9.971253436,-76.43663805
I4206554,HUANUCO,A4259,I420654,-9.895013293,-75.99087269
I420827,HUANUCO,A4271,I420827,-9.552228465,-76.81939823
I420845,HUANUCO,A4259,DERIVACION PURUPAMPA,-9.895312763,-75.98753018
I420847,HUANUCO,A4257,SECC: I420847,-10.10970573,-76.20650142
I420856,HUANUCO,A4272,SECC: I420856,-9.985362237,-76.69072041
I420857,HUANUCO,A4268,SECC: I420857,-9.606295111,-76.70770635
I420849,HUANUCO,A4259,SECC: I420849,-9.941825222,-76.16168741
I420850,HUANUCO,A4260,SECC: I420850,-9.818930512,-76.06732689
I420851,HUANUCO,A4260,SECC: I420851,-9.818326987,-76.06534515
I420852,HUANUCO,A4260,SECC: I420852,-9.791727574,-76.02059809
I420855,HUANUCO,A4258,SECC: I420855,-9.985432158,-76.50416091
I420830,HUANUCO,A4266,I420830,-9.975261676,-76.24370322
I420829,HUANUCO,A4260,I420829,-9.783428473,-76.08443742
I420863,HUANUCO,A4257,CHANCADORA MORY CA - CARRETERA CARRETERA AMBO - YANAHUANCA  HUACAR,-10.15848804,-76.23278718
I420864,HUANUCO,A4257,I420864,-10.22868172,-76.23456776
I420865,HUANUCO,A4266,CAYHUAYNA CA - CARRETERA CENTRAL HCO - LIMA,-9.965715337,-76.24481549
I420866,HUANUCO,A4254,CIUDAD HUANUCO CA - CARRETERA CENTRAL,-9.921715251,-76.23395694
I420894,HUANUCO,A4260,I420894,-9.776123879,-76.22207438
I420895,HUANUCO,A4260,I420895,-9.858130328,-76.22352598
I420647,HUANUCO,A4258,TRONCAL_MARGOS,-10.00027682,-76.52317379
I420821,HUANUCO,A4271,I420821,-9.550977021,-76.81713274
I420831,HUANUCO,A4259,I420831-A4259,-9.955815083,-75.92457793
I420832,HUANUCO,A4259,I420832-A4259,-9.970052069,-75.93378043
I420833,HUANUCO,A4259,I420833-A4259,-10.02109154,-75.93488216
I420834,HUANUCO,A4259,I420834-A4259,-10.02185625,-75.9348867
I420835,HUANUCO,A4259,I420835-A4259,-10.03239703,-75.90868984
I420836,HUANUCO,A4259,I420836-A4259,-10.04370617,-75.88567325
I420837,HUANUCO,A4259,I420837-A4259,-10.04962704,-75.90095841
I420839,HUANUCO,A4259,I420839-A4259,-10.05984813,-75.94114379
I420840,HUANUCO,A4259,I420840-A4259,-10.06918266,-75.9045365
I420841,HUANUCO,A4259,I420841-A4259,-10.08614216,-75.92953761
I420842,HUANUCO,A4259,I420842-A4259,-10.11101025,-75.92194916
I420843,HUANUCO,A4259,I420843-A4259,-10.11835772,-75.89759578
I420838,HUANUCO,A4259,I420838-A4259,-10.06874048,-75.90455654
I420860,HUANUCO,A4257,SECC: I420860,-10.09436019,-76.2137064
I420862,HUANUCO,A4257,SECC: I420862,-10.17847486,-76.18175375
I420898,HUANUCO,A4253,I420898,-9.918481249,-76.243959
I408790,HUANUCO,A4254,DERIVACION LAS TORRES TEMPLO,-9.916620641,-76.23060863
I420669,HUANUCO,A4257,I420669,-10.03307436,-76.23461938
I420892,HUANUCO,A4271,I420892,-9.501562784,-76.89080894
I420897,HUANUCO,A4258,SECC.-I420897,-9.941004435,-76.26540479
I420844,HUANUCO,A4260,I420844,-9.81703387,-76.23216822
I420893,HUANUCO,A4257,I420893,-10.17202776,-76.17994606
I420633,HUANUCO,A4257,Vista Alegre,-10.14024517,-76.29335701
I420676,HUANUCO,A4271,I420676,-9.548012795,-76.80441073
I420636,HUANUCO,A4257,Pumaquiro-Alfonso Ugarte,-10.23422631,-76.23434648
I420916,HUANUCO,A4255,Av. Javier Heraud,-9.937138985,-76.2385131
I420902,HUANUCO,A4260,SECC. I420902,-9.879618928,-76.18505178
I420901,HUANUCO,A4260,SECC. I420901,-9.877250128,-76.18228719
I420899,HUANUCO,A4257,I420899,-10.17016804,-76.18086704
I420069,HUANUCO,A4257,CM - COMITÉ SANTA ROSA DE PITUMAMA CL - CALLE PRINCIPAL,-9.985120836,-76.24596621
I420903,HUANUCO,A4268,SECC: I420903,-9.816392359,-76.64149314
I420869,HUANUCO,A4270,SECC. I420869,-9.829393314,-76.80260141
I420907,HUANUCO,A4272,DERIVACION YANAG,-10.0317238,-76.67589325
I420906,HUANUCO,A4272,DERIVACION JIVIA,-10.02503092,-76.68268632
I420913,HUANUCO,A4272,DERIVACION RIPAN,-10.02063161,-76.68197539
I420912,HUANUCO,A4272,DERIVACION RIPAN,-10.02379283,-76.68390395
I442041,HUANUCO,A4272,DERIVACION PAMPAVERDE,-10.03480853,-76.69635504
I420908,HUANUCO,A4272,DERIVACION AGOBAMBA,-10.0322078,-76.67507742
I420909,HUANUCO,A4272,DERIVACION UCRO,-10.01456603,-76.69132728
